manager,nationality,club,start_date,end_date,is_incumbent,is_caretaker,duration_days,departure_reason,days_to_next_job,sacked_flag,departure_timing,note
Arsène Wenger,France,Arsenal,01/10/1996,13/05/2018,0,0,7894,"effectively pushed out by hostile fan/results pressure over final seasons, despite mutual-agreement framing",,1,mid_season,user-reviewed: counted as sacking
Unai Emery,ESP,Arsenal,23/05/2018,29/11/2019,0,0,555,sacked,,1,mid_season,
Paul Lambert,Scotland,Aston Villa,02/06/2012,11/02/2015,0,0,985,sacked,,1,mid_season,
Tim Sherwood,England,Aston Villa,14/02/2015,25/10/2015,0,0,253,sacked,,1,mid_season,
Rémi Garde,France,Aston Villa,02/11/2015,29/03/2016,0,0,148,framed as 'mutual consent' but reporting confirms chairman decided to sack him,,1,mid_season,
Dean Smith,England,Aston Villa,10/10/2018,07/11/2021,0,0,1124,sacked,,1,mid_season,
Steven Gerrard,England,Aston Villa,11/11/2021,20/10/2022,0,0,343,sacked,,1,mid_season,
Steve Bruce,England,Birmingham City,12/12/2001,23/11/2007,0,0,2172,"left to become Wigan Athletic manager (approached/poached, not sacked)",0,0,mid_season,
Paul Ince,England,Blackburn Rovers,22/06/2008,16/12/2008,0,0,177,sacked,,1,mid_season,
Sam Allardyce,England,Blackburn Rovers,17/12/2008,13/12/2010,0,0,726,sacked,,1,mid_season,
Steve Kean,Scotland,Blackburn Rovers,13/12/2010,28/09/2012,0,0,655,resigned under severe/sustained fan pressure; no comparable job for a long period after,,1,mid_season,
Ian Holloway,England,Blackpool,21/05/2009,03/11/2012,0,0,1262,,,,mid_season,"EXCLUDE: non-PL season tenure (Championship), not relevant - user confirmed"
Sam Allardyce,England,Bolton Wanderers,19/10/1999,29/04/2007,0,0,2749,"left by mutual consent, appointed Newcastle United within ~2-3 weeks",18,0,mid_season,
Sammy Lee,England,Bolton Wanderers,30/04/2007,07/10/2007,0,0,160,sacked,,1,mid_season,
Gary Megson,England,Bolton Wanderers,25/10/2007,30/12/2009,0,0,797,sacked,,1,mid_season,
Owen Coyle,Republic of Ireland,Bolton Wanderers,08/01/2010,09/10/2012,0,0,1005,sacked,,1,mid_season,
Scott Parker,England,Bournemouth,28/06/2021,30/08/2022,0,0,428,"sacked (after 9-0 defeat to Liverpool, 4 games into season)",,1,mid_season,
Andoni Iraola,Spain,Bournemouth,19/06/2023,24/05/2026,0,0,1070,left for Liverpool job after a successful Bournemouth spell (not a sacking),0,0,mid_season,corrected from earlier EXCLUDE tag for consistency - user confirmed not a sacking
Graham Potter,England,Brighton & Hove Albion,20/05/2019,08/09/2022,0,0,1207,"left to become Chelsea manager (poached, not sacked)",0,0,mid_season,
Roberto De Zerbi,Italy,Brighton & Hove Albion,18/09/2022,19/05/2024,0,0,1381,left after a successful Brighton tenure amid recruitment disagreements with the board (not a sacking),,0,mid_season,user-reviewed: not counted as sacking
Owen Coyle,Republic of Ireland,Burnley,27/11/2007,05/01/2010,0,0,770,"left to become Bolton Wanderers manager (poached, not sacked)",0,0,mid_season,
Brian Laws,England,Burnley,13/01/2010,29/12/2010,0,0,350,sacked,,1,mid_season,
Sean Dyche,England,Burnley,30/10/2012,15/04/2022,0,0,3454,sacked (amid relegation battle),,1,mid_season,
Scott Parker,England,Burnley,05/07/2024,30/04/2026,0,0,664,"left by mutual consent immediately after relegation was confirmed - unsuccessful tenure, results-driven exit",,1,mid_season,user-reviewed: counted as sacking given relegation
Malky Mackay,Scotland,Cardiff City,17/06/2011,27/12/2013,0,0,924,sacked (public feud with owner Vincent Tan),,1,mid_season,
Ole Gunnar Solskjær,Norway,Cardiff City,02/01/2014,18/09/2014,0,0,259,,,,mid_season,EXCLUDE CANDIDATE: Cardiff relegated from PL end of 2013/14; this Sept 2014 exit occurred during Championship season
Neil Warnock,England,Cardiff City,05/10/2016,11/11/2019,0,0,1132,,,,mid_season,EXCLUDE CANDIDATE: Cardiff relegated from PL end of 2018/19; this Nov 2019 exit occurred during Championship season
Iain Dowie,Northern Ireland,Charlton Athletic,30/05/2006,13/11/2006,0,0,167,sacked,,1,mid_season,
Les Reed,England,Charlton Athletic,14/11/2006,24/12/2006,0,0,40,sacked,,1,mid_season,
Alan Pardew,England,Charlton Athletic,24/12/2006,22/11/2008,0,0,699,,,,mid_season,EXCLUDE CANDIDATE: Charlton relegated from PL end of 2006/07; this Nov 2008 exit occurred during Championship season
José Mourinho,Portugal,Chelsea,02/06/2004,20/09/2007,0,0,1205,"left amid boardroom/ownership relationship breakdown (largely political, not performance-driven)",,0,mid_season,"user-reviewed: not counted as sacking (political, not performance)"
Luiz Felipe Scolari,Brazil,Chelsea,01/07/2008,09/02/2009,0,0,223,sacked,,1,mid_season,
Carlo Ancelotti,Italy,Chelsea,01/07/2009,22/05/2011,0,0,720,"sacked (dismissed the day after the final match of the season, despite winning the double the year before)",,1,mid_season,"explicit dismissal, not just a mutual/planned exit - boundary edge case but genuinely a sacking"
André Villas-Boas,Portugal,Chelsea,22/06/2011,04/03/2012,0,0,256,sacked,,1,mid_season,
Roberto Di Matteo,Italy,Chelsea,04/03/2012,21/11/2012,0,0,262,sacked (despite winning Champions League months earlier),,1,mid_season,
José Mourinho,Portugal,Chelsea,03/06/2013,17/12/2015,0,0,927,sacked,,1,mid_season,
Frank Lampard,England,Chelsea,04/07/2019,25/01/2021,0,0,571,sacked,,1,mid_season,
Thomas Tuchel,Germany,Chelsea,26/01/2021,07/09/2022,0,0,588,sacked,,1,mid_season,
Graham Potter,England,Chelsea,08/09/2022,02/04/2023,0,0,206,sacked,,1,mid_season,
